vehicle_type,entry_hour,day_type,visit_purpose,stay_duration
Hatchback,10,Weekday,Dining,1.94
Sedan,13,Weekend,Quick_Pickup,0.24
Hatchback,9,Weekend,Quick_Pickup,0.38
Sedan,18,Weekend,Dining,1.89
SUV,11,Weekday,Grocery,1.11
SUV,21,Weekday,Grocery,1.13
Hatchback,8,Weekend,Office_Work,3.3
SUV,17,Weekday,Shopping,2.28
Sedan,15,Weekday,Dining,1.52
Hatchback,11,Weekend,Dining,1.84
Hatchback,18,Weekday,Dining,1.8
SUV,14,Weekday,Dining,1.14
SUV,21,Weekend,Shopping,1.73
Sedan,21,Weekend,Shopping,1.5
SUV,15,Weekend,Dining,1.68
Sedan,14,Weekday,Movies,3.41
Sedan,21,Weekend,Quick_Pickup,0.45
Sedan,20,Weekday,Quick_Pickup,0.17
Hatchback,16,Weekday,Dining,1.18
Sedan,20,Weekday,Office_Work,4.81
Sedan,12,Weekend,Shopping,1.28
SUV,8,Weekday,Office_Work,4.49
SUV,19,Weekend,Shopping,1.9
Sedan,14,Weekday,Dining,1.26
Sedan,16,Weekday,Office_Work,5.62
Hatchback,11,Weekday,Quick_Pickup,0.26
Hatchback,8,Weekend,Quick_Pickup,0.44
SUV,16,Weekend,Quick_Pickup,0.39
Hatchback,9,Weekday,Grocery,0.72
Hatchback,14,Weekend,Movies,3.23
Sedan,18,Weekday,Dining,1.81
Hatchback,19,Weekday,Office_Work,4.45
Sedan,21,Weekend,Dining,1.25
SUV,18,Weekday,Quick_Pickup,0.11
Sedan,16,Weekend,Shopping,1.7
Sedan,22,Weekday,Grocery,1.47
Sedan,9,Weekday,Dining,1.08
SUV,20,Weekend,Grocery,1.08
Sedan,8,Weekend,Shopping,1.51
Sedan,8,Weekend,Shopping,1.41
SUV,11,Weekend,Grocery,1.25
Sedan,17,Weekend,Shopping,1.16
Hatchback,18,Weekend,Office_Work,5.0
SUV,19,Weekend,Quick_Pickup,0.21
SUV,18,Weekend,Office_Work,4.66
Hatchback,14,Weekday,Office_Work,5.47
SUV,22,Weekday,Shopping,2.02
SUV,15,Weekend,Shopping,2.05
Sedan,9,Weekday,Movies,3.61
Sedan,12,Weekend,Movies,2.8
Hatchback,21,Weekend,Movies,2.73
Hatchback,16,Weekend,Dining,1.53
Hatchback,8,Weekend,Quick_Pickup,0.27
Sedan,17,Weekend,Office_Work,4.29
Sedan,22,Weekday,Movies,3.88
SUV,21,Weekend,Grocery,1.13
Sedan,16,Weekend,Movies,3.85
Hatchback,14,Weekend,Movies,3.32
Hatchback,20,Weekend,Movies,3.19
SUV,22,Weekend,Movies,3.32
Sedan,15,Weekday,Quick_Pickup,0.4
Sedan,22,Weekday,Movies,3.91
SUV,11,Weekend,Quick_Pickup,0.17
Hatchback,11,Weekday,Quick_Pickup,0.26
Sedan,18,Weekday,Grocery,1.38
SUV,8,Weekend,Quick_Pickup,0.18
Hatchback,15,Weekend,Grocery,1.3
